ID;Please select your age range.;Please select your gender.;What type of secondary school did you attend?;What is your average matric result?;Please select what type of student are you at Eduvos;Which faculty are you in at Eduvos?;What is your current grade average? (The current average of the program you are enrolled in).;How many hours do you study every week on average?;Do you have access to the following? Please select all that applies to you .);Has online learning had an impact on your ability to study?
1267;21-23 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1268;21-23 years;Female;State/Public;70-79%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1269;17-20 years;Female;State/Public;60-69%;Full-time student;Applied Sciences;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1270;26 +;Female;State/Public;80-89%;Part-time student;Commerce and Law;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1271;17-20 years;Female;State/Public;70-79%;Full-time student;Commerce and Law;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1272;26 +;Female;Private;50-59%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1273;17-20 years;Female;State/Public;50-59%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"A location or place where you may study;Access to the internet to help you with your studies.;Electricity at your place of study;";Yes
1274;21-23 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;";Yes
1275;17-20 years;Female;Private;60-69%;Full-time student;Applied Sciences;Below 40%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1276;21-23 years;Female;State/Public;70-79%;Full-time student;Information Technology;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1277;26 +;Female;State/Public;70-79%;Part-time student;Commerce and Law;80-89%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1278;21-23 years;Female;State/Public;60-69%;Full-time student;Applied Sciences;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1279;17-20 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1280;17-20 years;Female;Private;60-69%;Full-time student;Information Technology;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1281;17-20 years;Other;Private;60-69%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"A location or place where you may study;Access to the internet to help you with your studies.;Electricity at your place of study;";Yes
1282;17-20 years;Male;State/Public;50-59%;Full-time student;Information Technology;60-69%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;";No
1283;17-20 years;Male;State/Public;60-69%;Full-time student;Commerce and Law;60-69%;10 - 20 hours weekly;"Access to the internet to help you with your studies.;";Yes
1284;17-20 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;60-69%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;";No
1285;21-23 years;Male;State/Public;60-69%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1286;17-20 years;Female;State/Public;50-59%;Full-time student;Commerce and Law;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";No
1287;21-23 years;Female;Private;50-59%;Full-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;";Yes
1288;17-20 years;Female;Private;50-59%;Full-time student;Applied Sciences;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1289;26 +;Female;State/Public;50-59%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;";Yes
1290;17-20 years;Male;State/Public;50-59%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1291;17-20 years;Male;State/Public;80-89%;Full-time student;Commerce and Law;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";No
1292;17-20 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;80-89%;10 - 20 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;";Yes
1293;26 +;Male;Private;50-59%;Full-time student;Information Technology;60-69%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1294;21-23 years;Female;State/Public;50-59%;Full-time student;Commerce and Law;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1295;21-23 years;Female;State/Public;50-59%;Full-time student;Applied Sciences;50-59%;1 - 10 hours weekly;"Electricity at your place of study;";Yes
1296;26 +;Female;State/Public;60-69%;Full-time student;Information Technology;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1297;17-20 years;Female;Private;40-49%;Full-time student;Commerce and Law;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";No
1298;26 +;Female;State/Public;70-79%;Part-time student;Commerce and Law;80-89%;10 - 20 hours weekly;"A location or place where you may study;Access to the internet to help you with your studies.;Electricity at your place of study;";No
1299;17-20 years;Female;State/Public;70-79%;Full-time student;Applied Sciences;50-59%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1300;21-23 years;Male;State/Public;60-69%;Full-time student;Commerce and Law;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
1301;17-20 years;Female;Combined;50-59%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Electricity at your place of study;A location or place where you may study;";No
1302;17-20 years;Female;Private;50-59%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1303;17-20 years;Male;State/Public;70-79%;Full-time student;Information Technology;80-89%;30+ hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1304;17-20 years;Female;State/Public;60-69%;Full-time student;Applied Sciences;60-69%;30+ hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1305;17-20 years;Female;State/Public;60-69%;Full-time student;Information Technology;50-59%;10 - 20 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;A location or place where you may study;";No
1306;17-20 years;Male;Private;60-69%;Full-time student;Commerce and Law;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1307;17-20 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1308;17-20 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1309;17-20 years;Male;Private;60-69%;Full-time student;Commerce and Law;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1310;17-20 years;Female;State/Public;70-79%;Full-time student;Arts and Humanities;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1311;24-26 years;Female;Private;60-69%;Full-time student;Commerce and Law;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1312;17-20 years;Female;State/Public;50-59%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1313;24-26 years;Female;State/Public;50-59%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1314;17-20 years;Male;Private;60-69%;Full-time student;Information Technology;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1315;17-20 years;Male;State/Public;60-69%;Full-time student;Information Technology;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1316;17-20 years;Female;Private;70-79%;Full-time student;Information Technology;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1317;17-20 years;Female;State/Public;60-69%;Full-time student;Information Technology;50-59%;10 - 20 hours weekly;"Electricity at your place of study;";No
1318;21-23 years;Female;State/Public;40-49%;Full-time student;Information Technology;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1319;17-20 years;Male;State/Public;60-69%;Full-time student;Information Technology;80-89%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1320;17-20 years;Female;Private;60-69%;Full-time student;Information Technology;80-89%;20 - 30 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;A location or place where you may study;";Yes
1321;17-20 years;Male;State/Public;60-69%;Full-time student;Information Technology;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1322;21-23 years;Female;State/Public;60-69%;Full-time student;Applied Sciences;50-59%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1323;21-23 years;Male;Private;60-69%;Full-time student;Commerce and Law;50-59%;1 - 10 hours weekly;"A location or place where you may study;Access to the internet to help you with your studies.;Electricity at your place of study;";Yes
1324;21-23 years;Female;State/Public;60-69%;Full-time student;Applied Sciences;60-69%;10 - 20 hours weekly;"Access to the internet to help you with your studies.;";Yes
1325;17-20 years;Male;State/Public;50-59%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1326;17-20 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1327;21-23 years;Female;Private;60-69%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1328;21-23 years;Female;State/Public;50-59%;Part-time student;Information Technology;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1329;21-23 years;Male;State/Public;60-69%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1330;21-23 years;Female;Private;70-79%;Full-time student;Commerce and Law;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1331;17-20 years;Female;State/Public;50-59%;Full-time student;Arts and Humanities;Below 40%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;A location or place where you may study;Electricity at your place of study;";No
1332;26 +;Male;State/Public;50-59%;Part-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1333;21-23 years;Male;Private;50-59%;Full-time student;Commerce and Law;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1334;26 +;Male;State/Public;80-89%;Part-time student;Information Technology;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1335;21-23 years;Male;Private;60-69%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1336;21-23 years;Female;Private;60-69%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;A location or place where you may study;";Yes
1337;17-20 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1338;17-20 years;Female;State/Public;40-49%;Full-time student;Applied Sciences;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1339;21-23 years;Male;Private;60-69%;Full-time student;Arts and Humanities;60-69%;10 - 20 hours weekly;"A location or place where you may study;Access to the internet to help you with your studies.;Electricity at your place of study;";Yes
1340;21-23 years;Male;State/Public;50-59%;Full-time student;Commerce and Law;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1341;17-20 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;80-89%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1342;21-23 years;Female;Private;60-69%;Full-time student;Commerce and Law;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1343;21-23 years;Female;Private;70-79%;Full-time student;Applied Sciences;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1344;24-26 years;Male;State/Public;50-59%;Full-time student;Information Technology;80-89%;1 - 10 hours weekly;"Electricity at your place of study;A location or place where you may study;Access to the internet to help you with your studies.;";No
1345;17-20 years;Female;State/Public;70-79%;Full-time student;Arts and Humanities;70-79%;30+ hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1346;17-20 years;Female;Private;80-89%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1347;21-23 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;80-89%;1 - 10 hours weekly;"Electricity at your place of study;";Yes
1348;17-20 years;Male;Private;60-69%;Full-time student;Information Technology;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1349;21-23 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;70-79%;10 - 20 hours weekly;"A location or place where you may study;Access to the internet to help you with your studies.;Electricity at your place of study;";Yes
1350;17-20 years;Female;State/Public;50-59%;Full-time student;Information Technology;70-79%;10 - 20 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;";Yes
1351;17-20 years;Female;State/Public;60-69%;Full-time student;Applied Sciences;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
1352;24-26 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;60-69%;10 - 20 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;";Yes
1353;17-20 years;Female;State/Public;50-59%;Full-time student;Commerce and Law;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1354;17-20 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;50-59%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1355;17-20 years;Male;Private;50-59%;Full-time student;Arts and Humanities;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";No
1356;21-23 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1357;17-20 years;Female;State/Public;50-59%;Full-time student;Commerce and Law;80-89%;1 - 10 hours weekly;"Electricity at your place of study;A location or place where you may study;";Yes
1358;17-20 years;Male;State/Public;40-49%;Full-time student;Commerce and Law;50-59%;20 - 30 hours weekly;"Electricity at your place of study;A location or place where you may study;";No
1359;17-20 years;Female;Private;60-69%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1360;17-20 years;Male;State/Public;40-49%;Full-time student;Information Technology;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1361;17-20 years;Female;State/Public;50-59%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1362;17-20 years;Male;State/Public;50-59%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1363;21-23 years;Female;State/Public;70-79%;Full-time student;Applied Sciences;50-59%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;A location or place where you may study;";Yes
1364;21-23 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";No
1365;21-23 years;Male;Private;60-69%;Full-time student;Information Technology;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
1366;17-20 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1367;21-23 years;Female;State/Public;50-59%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1368;17-20 years;Female;Private;60-69%;Full-time student;Applied Sciences;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1369;17-20 years;Male;State/Public;70-79%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1370;17-20 years;Female;State/Public;70-79%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1371;21-23 years;Female;State/Public;50-59%;Full-time student;Applied Sciences;50-59%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
1372;17-20 years;Female;State/Public;50-59%;Full-time student;Commerce and Law;80-89%;10 - 20 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;";Yes
1373;17-20 years;Male;Private;70-79%;Full-time student;Information Technology;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1374;17-20 years;Other;Private;40-49%;Full-time student;Arts and Humanities;Below 40%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";No
1375;21-23 years;Female;State/Public;50-59%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";No
1376;24-26 years;Female;Private;60-69%;Full-time student;Applied Sciences;60-69%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1377;21-23 years;Female;Private;60-69%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1378;21-23 years;Female;Private;60-69%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"Electricity at your place of study;A location or place where you may study;Access to the internet to help you with your studies.;";Yes
1379;;;;;;;;;;
1380;21-23 years;Female;State/Public;50-59%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";No
1381;17-20 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1382;17-20 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;Below 40%;20 - 30 hours weekly;"Electricity at your place of study;A location or place where you may study;";Yes
1383;26 +;Female;State/Public;60-69%;Part-time student;Commerce and Law;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1384;17-20 years;Female;Private;50-59%;Full-time student;Commerce and Law;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
1385;21-23 years;Female;State/Public;50-59%;Full-time student;Applied Sciences;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
1386;21-23 years;Female;State/Public;50-59%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;A location or place where you may study;";Yes
1387;21-23 years;Male;State/Public;60-69%;Full-time student;Applied Sciences;50-59%;1 - 10 hours weekly;"A location or place where you may study;Access to the internet to help you with your studies.;Electricity at your place of study;";Yes
1388;17-20 years;Male;Private;60-69%;Full-time student;Information Technology;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
1389;17-20 years;Female;Private;70-79%;Full-time student;Commerce and Law;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1390;21-23 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;A location or place where you may study;";Yes
1391;21-23 years;Female;Private;60-69%;Full-time student;Applied Sciences;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1392;17-20 years;Female;Private;50-59%;Full-time student;Commerce and Law;Below 40%;1 - 10 hours weekly;"Electricity at your place of study;A location or place where you may study;";Yes
1393;21-23 years;Female;Private;50-59%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"A location or place where you may study;Access to the internet to help you with your studies.;Electricity at your place of study;";Yes
1394;21-23 years;Female;Semi-Private;60-69%;Full-time student;Information Technology;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1395;17-20 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1396;21-23 years;Male;State/Public;70-79%;Part-time student;Information Technology;90-100%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1397;21-23 years;Male;State/Public;70-79%;Full-time student;Information Technology;80-89%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1398;21-23 years;Male;Government ;50-59%;Full-time student;Commerce and Law;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1399;17-20 years;Male;Private;60-69%;Full-time student;Information Technology;Below 40%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1400;17-20 years;Female;Private;50-59%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
1401;17-20 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1402;17-20 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";No
1403;17-20 years;Male;Private International;80-89%;Full-time student;Information Technology;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1404;21-23 years;Female;State/Public;50-59%;Full-time student;Applied Sciences;Below 40%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1405;21-23 years;Male;Private;70-79%;Full-time student;Information Technology;90-100%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1406;;;;;;;;;;
1407;21-23 years;Female;State/Public;40-49%;Full-time student;Psychology and HR ;60-69%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1408;21-23 years;Female;State/Public;70-79%;Full-time student;Commerce and Law;80-89%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;A location or place where you may study;";Yes
1409;21-23 years;Female;State/Public;50-59%;Full-time student;Arts and Humanities;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1410;17-20 years;Male;State/Public;70-79%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1411;21-23 years;Male;Private;60-69%;Full-time student;Information Technology;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
1412;17-20 years;Male;Private;70-79%;Full-time student;Commerce and Law;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1413;26 +;Female;State/Public;50-59%;Full-time student;Arts and Humanities;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1414;17-20 years;Female;State/Public;50-59%;Full-time student;Commerce and Law;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1415;17-20 years;Female;Private;70-79%;Full-time student;Commerce and Law;70-79%;20 - 30 hours weekly;"Access to the internet to help you with your studies.;";No
1416;17-20 years;Female;Private;70-79%;Full-time student;Commerce and Law;70-79%;30+ hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1417;17-20 years;Female;State/Public;40-49%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1418;17-20 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1419;17-20 years;Female;State/Public;70-79%;Full-time student;Information Technology;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1420;17-20 years;Female;State/Public;80-89%;Full-time student;Arts and Humanities;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1421;17-20 years;Female;Private;60-69%;Full-time student;Applied Sciences;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1422;17-20 years;Female;Private;70-79%;Full-time student;Information Technology;Below 40%;30+ hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1423;26 +;Male;State/Public;50-59%;Part-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1424;17-20 years;Female;State/Public;50-59%;Full-time student;Applied Sciences;50-59%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";No
1425;24-26 years;Male;State/Public;60-69%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;A location or place where you may study;";Yes
